CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP SENT,OTH SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
ALL,ALLEGANY,Statewide,2440,2249,823,5512,1038,1053,314,2405,0,0,0,0
ALL,ANNE ARUNDEL,Statewide,44987,18423,17830,81240,16130,6558,5249,27937,0,0,0,0
ALL,BALTIMORE CITY,Statewide,53610,3496,7064,64170,14064,842,1190,16096,0,0,0,0
ALL,BALTIMORE COUNTY,Statewide,71003,20680,17700,109383,22695,6653,4277,33625,0,0,0,0
ALL,CALVERT,Statewide,6015,3652,2389,12056,2295,1323,762,4380,0,0,0,0
ALL,CAROLINE,Statewide,940,759,404,2103,372,291,135,798,0,0,0,0
ALL,CARROLL,Statewide,9176,7159,3985,20320,3330,2585,1187,7102,0,0,0,0
ALL,CECIL,Statewide,3847,3638,1748,9233,1225,1050,475,2750,0,0,0,0
ALL,CHARLES,Statewide,12360,2800,2776,17936,4181,1055,751,5987,0,0,0,0
ALL,DORCHESTER,Statewide,1659,842,410,2911,682,345,132,1159,0,0,0,0
ALL,FREDERICK,Statewide,20511,7918,7335,35764,6176,2341,1907,10424,0,0,0,0
ALL,GARRETT,Statewide,913,1211,340,2464,424,506,120,1050,0,0,0,0
ALL,HARFORD,Statewide,13085,8342,5418,26845,5061,3229,1727,10017,0,0,0,0
ALL,HOWARD,Statewide,30488,7214,10345,48047,10169,2272,2765,15206,0,0,0,0
ALL,KENT,Statewide,1371,564,344,2279,586,234,113,933,0,0,0,0
ALL,MONTGOMERY,Statewide,112259,17604,30782,160645,29295,4771,6713,40779,0,0,0,0
ALL,PRINCE GEORGE'S,Statewide,78523,5278,11736,95537,26212,1718,2623,30553,0,0,0,0
ALL,QUEEN ANNE'S,Statewide,2624,2000,1107,5731,958,763,376,2097,0,0,0,0
ALL,SAINT MARY'S,Statewide,5188,3360,2139,10687,2009,1191,670,3870,0,0,0,0
ALL,SOMERSET,Statewide,760,530,228,1518,356,202,82,640,0,0,0,0
ALL,TALBOT,Statewide,2809,1466,1064,5339,1229,581,374,2184,0,0,0,0
ALL,WASHINGTON,Statewide,6931,4734,2759,14424,2635,1807,835,5277,0,0,0,0
ALL,WICOMICO,Statewide,4515,2394,1478,8387,1931,1050,478,3459,0,0,0,0
ALL,WORCESTER,Statewide,3248,2432,1275,6955,1542,1094,477,3113,0,0,0,0
CATEGORY,COUNTY NAME,DISTRICT,DEM SENT,REP_SENT,OTH_SENT,TOTAL SENT,DEM RECEIVED,REP RECEIVED,OTH RECEIVED,TOTAL RECEIVED,DEM ACCEPTED,REP ACCEPTED,OTH ACCEPTED,TOTAL ACCEPTED
Civilian Overseas,ALLEGANY,Statewide,29,4,10,43,5,0,1,6,0,0,0,0
Civilian Overseas,ANNE ARUNDEL,Statewide,908,163,371,1442,180,21,60,261,0,0,0,0
Civilian Overseas,BALTIMORE CITY,Statewide,1042,224,337,1603,128,12,24,164,0,0,0,0
Civilian Overseas,BALTIMORE COUNTY,Statewide,1012,202,354,1568,156,15,46,217,0,0,0,0
Civilian Overseas,CALVERT,Statewide,77,22,38,137,11,4,10,25,0,0,0,0
Civilian Overseas,CAROLINE,Statewide,12,0,4,16,4,0,0,4,0,0,0,0
Civilian Overseas,CARROLL,Statewide,136,35,44,215,25,7,8,40,0,0,0,0
Civilian Overseas,CECIL,Statewide,52,15,18,85,5,3,5,13,0,0,0,0
Civilian Overseas,CHARLES,Statewide,102,23,42,167,18,7,6,31,0,0,0,0
Civilian Overseas,DORCHESTER,Statewide,19,7,3,29,3,0,1,4,0,0,0,0
Civilian Overseas,FREDERICK,Statewide,369,60,119,548,65,4,19,88,0,0,0,0
Civilian Overseas,GARRETT,Statewide,16,5,13,34,3,1,1,5,0,0,0,0
Civilian Overseas,HARFORD,Statewide,196,44,81,321,29,10,15,54,0,0,0,0
Civilian Overseas,HOWARD,Statewide,707,65,230,1002,134,8,31,173,0,0,0,0
Civilian Overseas,KENT,Statewide,25,1,3,29,7,0,1,8,0,0,0,0
Civilian Overseas,MONTGOMERY,Statewide,4449,427,1421,6297,270,15,63,348,0,0,0,0
